Id;date;order_number;place;t_c;order_count;branch
276;2024-02-06;79812;1;ПЭК;1;Купи Флакон
277;2024-02-06;79773;2;ПЭК;1;Купи Флакон
278;2024-02-06;79825;1;Самовывоз;1;Купи Флакон
279;2024-02-06;79672;5;DPD;1;Купи Флакон
280;2024-02-06;79793;4;DPD;1;Купи Флакон
281;2024-02-06;79780;1;Сдек;1;Купи Флакон
282;2024-02-06;79775;1;Сдек;1;Купи Флакон
284;2024-02-07;79768;3;Самовывоз;1;Купи Флакон
285;2024-02-07;79856;1;Самовывоз;1;Купи Флакон
286;2024-02-07;79811;1;Самовывоз;1;Купи Флакон
287;2024-02-07;79834;1;Самовывоз;1;Купи Флакон
288;2024-02-07;79847;1;Самовывоз;1;Купи Флакон
289;2024-02-07;79694;1;Сдек;1;Купи Флакон
290;2024-02-07;79714;1;Boxberry;1;Купи Флакон
291;2024-02-07;79804;1;Boxberry;1;Купи Флакон
292;2024-02-07;79844;4;DPD;1;Купи Флакон
293;2024-02-07;79831;5;Деловые линии;1;Купи Флакон
294;2024-02-07;79829;32;Деловые линии;1;Купи Флакон
295;2024-02-07;79824;1;Сдек;1;Купи Флакон
296;2024-02-08;79845;1;Самовывоз;1;Купи Флакон
297;2024-02-08;79843;1;Самовывоз;1;Купи Флакон
298;2024-02-08;79854;1;Boxberry;1;Купи Флакон
299;2024-02-08;79862;1;DPD;1;Купи Флакон
300;2024-02-08;79875;1;Сдек;1;Купи Флакон
301;2024-02-08;79586;2;Сдек;1;Купи Флакон
302;2024-02-08;79853;1;Boxberry;1;Купи Флакон
303;2024-02-08;79881;1;Сдек;1;Купи Флакон
304;2024-02-08;79818;6;Сдек;1;Купи Флакон
305;2024-02-08;79836;21;DPD;1;Купи Флакон
306;2024-02-09;79890;1;Самовывоз;1;Купи Флакон
307;2024-02-09;79850;1;Boxberry;1;Купи Флакон
308;2024-02-09;79892;1;Boxberry;1;Купи Флакон
309;2024-02-09;79885;2;Сдек;1;Купи Флакон
310;2024-02-09;79876;1;Сдек;1;Купи Флакон
311;2024-02-09;79896;1;Самовывоз;1;Купи Флакон
312;2024-02-09;79914;1;Самовывоз;1;Купи Флакон
313;2024-02-09;79841;1;Почта России;1;Купи Флакон
314;2024-02-09;79864;2;DPD;1;Купи Флакон
315;2024-02-09;79865;1;DPD;1;Купи Флакон
316;2024-02-09;79893;3;Сдек;1;Купи Флакон
317;2024-02-09;79913;1;Самовывоз;1;Купи Флакон
318;2024-02-12;79567;1;Сдек;1;Купи Флакон
319;2024-02-12;79919;1;Сдек;1;Купи Флакон
320;2024-02-12;79936;1;Сдек;1;Купи Флакон
321;2024-02-12;79904;1;Сдек;1;Купи Флакон
322;2024-02-12;79887;1;Сдек;1;Купи Флакон
323;2024-02-12;79842;2;Сдек;1;Купи Флакон
324;2024-02-12;79902;1;Сдек;1;Купи Флакон
